,cluster,lat,lng
0,0,60.18929335380508,-149.29588289519359
1,1,47.776271212553496,-123.49945102639087
2,2,59.20283809358612,-135.0355735002017
3,3,40.219606724590165,-105.87615740983607
4,4,60.70800576056338,-144.0503417291441
5,5,60.13549036948749,-153.5285595542312
6,6,37.89945127764706,-119.32662195294118
7,7,44.15357280297398,-109.85501407806692
8,8,61.23337873674753,-147.668927319407
9,9,69.13071281756757,-143.93874966216217
10,10,54.7151647962963,-163.97807153703704
11,11,55.973524794676806,-130.47534154182512
12,12,62.663717668103445,-152.1222433922414
13,13,61.047940905930474,-141.48544660940695
14,14,48.72301402905199,-113.82614204587156
15,15,63.30612245938375,-144.64590011764707
16,16,45.38035095714285,-121.69400797857142
17,17,60.776677332681786,-145.05109427677874
18,18,63.32956860880829,-149.77932592227978
19,19,59.82119346247464,-139.15938056795133
20,20,56.47168,-158.5086454893617
21,21,48.822003078674946,-121.47177977329191
22,22,59.884135719166665,-150.16751941416666
23,23,68.35399256321838,-148.32668025287356
24,24,58.958583973451326,-136.52974446349558
25,25,57.88044440812379,-133.216580483559
26,26,52.22186661904762,-174.97789038095237
27,27,61.37547897677261,-153.34701328606357
28,28,61.49166826595744,-148.51053636595745
29,29,61.27842973612018,-146.72726713324624
30,30,44.06995412820513,-114.97034814102564
31,31,67.72376861538461,-154.57267574358974
32,32,58.63270893255132,-154.72833470381232
33,33,62.869187674242426,-151.30546926969697
34,34,41.155033337209304,-122.43826845348836
35,35,63.62268620645162,-147.51628116774194
36,36,47.92144241647597,-121.15151650800915
37,37,61.75043606137184,-143.11160805054152
38,38,58.78155848240469,-137.30325776099707
39,39,60.18783098529412,-148.4514259125
40,40,58.764978143534485,-134.61594425387932
41,41,61.14806361084221,-146.05595482575023
42,42,43.10458698529411,-109.52867391470588
43,43,60.163906206850235,-148.92406910006716
44,44,59.44526483864337,-151.00766790133608
45,45,59.94404608641976,-159.26554396296297
46,46,60.72254990909091,-152.71970575180373
47,47,57.12581790909091,-132.55947605731225
48,48,57.14556758333333,-156.82897702083332
49,49,37.017415563573884,-118.58626417010309
50,50,53.14171556521739,-168.60300069565218
51,51,45.25946071632654,-109.87382069183674
52,52,55.30965704225352,-162.1780578028169
53,53,62.06644484327087,-148.7169478330494
54,54,60.601551223515244,-148.7852956890048
55,55,61.156769055634804,-152.43030712696148
56,56,46.309876285087725,-121.52891813596491
57,57,62.06253856785714,-143.97571459285714
58,58,45.22220201960785,-117.33003084313727
59,59,57.024206695652175,-134.91509766459626
60,60,62.29303780967742,-142.65983707419355
61,61,57.4207565882353,-153.21817409411764
62,62,68.17576779816514,-150.42832399082567
63,63,60.671605049865235,-142.4832191981132
64,64,63.04154101737452,-150.5705978011583
65,65,46.85460732954546,-121.74688739318181
66,66,60.13460238903625,-149.7561733545535
67,67,60.15718848979592,-140.83502229591835
68,68,61.20770136088154,-144.7276162093664
69,69,43.77606967452831,-110.81907924056604
70,70,63.431015974930354,-145.44202323119777
71,71,58.49385811827956,-134.01255922580646
72,72,44.2292023559322,-121.76927231355933
73,73,47.47661016949152,-113.64100802542373
74,74,61.340618743181814,-148.1173819625
75,75,60.82464444736842,-153.4556858522267
76,76,53.72119903125,-166.751216140625
77,77,60.65165179283216,-144.44008493793706
78,78,61.28800880870774,-147.33149056692912
79,79,60.903000363265306,-145.4475604107143
80,80,59.38396192211056,-138.26933582663315
81,81,55.996730400000004,-159.7949755047619
82,82,60.36356980641183,-153.0875958680641
83,83,56.39484714564831,-131.44280675666076
84,84,59.13749213171226,-135.6999021621074
85,85,60.90992790498339,-148.50948732225913
86,86,61.68659613825758,-153.9629426808712
87,87,61.60910536585366,-142.0138304085366
88,88,69.12537620279721,-145.1817458951049
89,89,58.77556140408163,-153.72104085306123
90,90,48.45179809099019,-120.9773021248885
91,91,38.5059852,-107.255033
92,92,62.38597658303887,-152.66919904358068
93,93,60.657540199539525,-143.72487337759017
94,94,44.39534054166666,-107.18109758333333
95,95,59.74080605688623,-150.6026510748503
96,96,61.06669773198847,-148.96223080115274
97,97,63.48884359027778,-146.48900562962965
98,98,60.595340271299094,-149.14716211903323
99,99,61.671687671118534,-152.31471442737896
